# безперервний лог калібрування, старт 2026-08-22T18:47:04
# agro soil calibration bench
# sensors: v12a=GPIO2 v12b=GPIO3 v20a=GPIO4 v20b=GPIO5
# oversample=32 period_ms=1000
elapsed_s,water_ml,event,v12a_raw,v12a_mv,v12b_raw,v12b_mv,v20a_raw,v20a_mv,v20b_raw,v20b_mv,air_t,air_h
1393.2,0.0,,1683,1431,182,147,854,728,117,94,,
1394.2,0.0,,1702,1435,194,158,850,726,108,85,,
1395.2,0.0,,1692,1438,189,153,848,723,111,88,,
1396.2,0.0,,1693,1437,192,156,845,721,105,84,,
1397.2,0.0,,1692,1435,200,160,843,718,102,81,,
1398.2,0.0,,1702,1440,196,158,842,718,101,81,,
1399.2,0.0,,1693,1445,200,161,841,717,102,82,,
1400.2,0.0,,1698,1440,201,162,839,716,105,85,,
1401.2,0.0,,1697,1439,193,155,840,717,108,87,,
1402.2,0.0,,1691,1435,181,144,840,717,109,89,,
1403.2,0.0,,1698,1440,187,150,843,719,115,93,,
1404.2,0.0,,1695,1442,185,148,843,719,120,97,,
1405.2,0.0,,1693,1441,179,143,846,721,127,104,,
1406.2,0.0,,1698,1438,176,141,848,723,129,106,,
1407.2,0.0,,1695,1442,177,142,848,723,137,111,,
1408.2,0.0,,1696,1440,165,133,851,726,145,119,,
1409.2,0.0,,1696,1439,175,139,852,727,149,121,,
1410.2,0.0,,1696,1443,174,138,855,729,147,119,,
1411.2,0.0,,1698,1439,173,139,856,730,137,110,,
1412.2,0.0,,1705,1439,172,138,858,731,138,111,,
1413.2,0.0,,1701,1442,172,138,857,730,133,107,,
1414.2,0.0,,1699,1437,179,143,855,729,128,102,,
1415.2,0.0,,1705,1443,180,146,855,729,122,98,,
1416.2,0.0,,1700,1443,186,150,851,725,115,92,,
1417.2,0.0,,1699,1440,195,158,848,723,110,87,,
1418.2,0.0,,1695,1443,191,155,846,721,106,85,,
1419.2,0.0,,1698,1441,200,161,841,718,102,81,,
1420.2,0.0,,1701,1438,195,156,838,715,102,82,,
1421.2,0.0,,1700,1440,200,161,837,714,102,82,,
1422.2,0.0,,1703,1444,203,163,837,714,103,83,,
1423.2,0.0,,1704,1442,191,152,838,715,103,84,,
1424.2,0.0,,1697,1444,190,153,838,715,106,86,,
1425.2,0.0,,1701,1445,186,149,840,717,112,91,,
1426.2,0.0,,1695,1436,185,148,839,717,105,85,,
1427.2,0.0,,1702,1439,186,150,842,719,118,95,,
1428.2,0.0,,1699,1445,175,140,844,720,121,98,,
1429.2,0.0,,1700,1442,176,140,845,720,125,102,,
1430.2,0.0,,1701,1445,175,140,846,722,130,105,,
1431.2,0.0,,1701,1446,169,136,849,723,127,102,,
1432.2,0.0,,1698,1444,180,144,849,724,135,110,,
1433.2,0.0,,1700,1443,173,138,851,725,136,110,,
1434.2,0.0,,1687,1445,178,143,851,725,135,109,,
1435.2,0.0,,1702,1444,179,143,853,727,134,108,,
1436.2,0.0,,1704,1447,175,141,853,727,134,108,,
1437.2,0.0,,1719,1445,183,147,853,727,133,107,,
1438.2,0.0,,1696,1443,181,146,853,727,125,100,,
1439.2,0.0,,1704,1448,178,143,851,726,125,100,,
1440.2,0.0,,1699,1447,185,149,850,725,122,98,,
1441.2,0.0,,1700,1448,181,147,849,724,118,95,,
1442.2,0.0,,1708,1447,188,153,848,723,117,94,,
1443.2,0.0,,1703,1436,185,150,845,720,113,90,,
1444.2,0.0,,1695,1445,192,155,843,719,111,88,,
1445.2,0.0,,1704,1446,194,156,842,718,109,86,,
1446.2,0.0,,1705,1446,189,152,840,717,108,86,,
1447.2,0.0,,1704,1446,191,154,839,716,107,85,,
1448.2,0.0,,1703,1448,197,158,839,715,106,84,,
1449.2,0.0,,1705,1449,191,154,837,714,106,85,,
1450.2,0.0,,1705,1444,193,154,837,714,104,84,,
1451.2,0.0,,1704,1448,190,153,836,713,102,82,,
1452.2,0.0,,1703,1446,184,147,836,713,106,85,,
1453.2,0.0,,1700,1447,189,151,836,713,107,86,,
1454.2,0.0,,1705,1448,185,149,836,714,107,87,,
1455.2,0.0,,1712,1445,180,143,836,713,106,86,,
1456.2,0.0,,1706,1446,186,149,837,714,106,86,,
1457.2,0.0,,1706,1446,186,149,837,714,117,95,,
1458.2,0.0,,1708,1451,181,144,837,714,120,98,,
1459.2,0.0,,1703,1446,176,141,838,715,124,101,,
1460.2,0.0,,1703,1448,170,135,840,717,129,105,,
1461.2,0.0,,1710,1446,169,135,841,717,127,103,,
1462.2,0.0,,1706,1448,170,135,842,719,136,111,,
1463.2,0.0,,1706,1450,174,139,844,720,138,113,,
1464.2,0.0,,1709,1445,173,138,845,720,138,112,,
1465.2,0.0,,1704,1455,166,133,846,721,141,115,,
1466.2,0.0,,1701,1454,165,133,847,722,135,110,,
1467.2,0.0,,1712,1451,171,137,848,723,143,116,,
1468.2,0.0,,1709,1445,171,136,849,724,142,116,,
1469.2,0.0,,1707,1449,172,138,850,724,143,115,,
1470.2,0.0,,1706,1446,173,139,850,725,142,115,,
1471.2,0.0,,1708,1448,163,131,850,724,135,108,,
1472.2,0.0,,1715,1454,168,134,852,726,138,110,,
1473.2,0.0,,1706,1445,169,135,852,726,135,109,,
1474.2,0.0,,1708,1446,181,146,852,726,135,108,,
1475.2,0.0,,1709,1452,180,145,850,725,131,105,,
1476.2,0.0,,1706,1450,182,148,850,724,123,98,,
1477.2,0.0,,1710,1456,177,144,849,724,122,97,,
1478.2,0.0,,1709,1448,185,150,848,723,116,92,,
1479.2,0.0,,1706,1451,185,150,846,721,114,92,,
1480.2,0.0,,1710,1448,185,150,843,718,110,87,,
1481.2,0.0,,1716,1450,193,156,841,717,109,87,,
1482.2,0.0,,1707,1449,192,154,840,716,105,83,,
1483.2,0.0,,1701,1452,192,155,838,715,103,81,,
1484.2,0.0,,1717,1451,190,153,836,712,101,81,,
1485.2,0.0,,1710,1447,200,162,834,711,101,80,,
1486.2,0.0,,1706,1452,192,154,834,711,95,75,,
1487.2,0.0,,1706,1451,193,156,834,711,99,79,,
1488.2,0.0,,1714,1450,195,156,832,710,99,79,,
1489.2,0.0,,1711,1449,199,160,832,710,100,80,,
1490.2,0.0,,1702,1447,190,152,833,711,99,80,,
1491.2,0.0,,1711,1458,193,156,832,710,97,79,,
1492.2,0.0,,1710,1446,190,153,833,711,103,83,,
1493.2,0.0,,1710,1452,185,148,832,710,99,80,,
1494.2,0.0,,1711,1456,190,152,833,711,107,86,,
1495.2,0.0,,1708,1448,188,150,833,711,110,89,,
1496.2,0.0,,1706,1453,178,142,833,712,109,88,,
1497.2,0.0,,1713,1452,179,143,834,712,114,92,,
1498.2,0.0,,1708,1447,183,146,835,712,116,95,,
1499.2,0.0,,1709,1452,174,139,835,712,120,98,,
1500.2,0.0,,1711,1451,171,136,836,713,122,99,,
1501.2,0.0,,1711,1444,170,135,837,714,121,99,,
1502.2,0.0,,1711,1450,172,137,839,716,130,106,,
1503.2,0.0,,1711,1456,170,136,839,716,133,108,,
1504.2,0.0,,1719,1451,174,139,840,716,133,108,,
1505.2,0.0,,1710,1453,176,140,841,718,139,113,,
1506.2,0.0,,1715,1450,168,134,842,718,132,107,,
1507.2,0.0,,1711,1452,172,138,844,720,141,114,,
1508.2,0.0,,1709,1447,173,138,844,720,141,115,,
1509.2,0.0,,1716,1455,164,131,845,721,142,115,,
1510.2,0.0,,1711,1456,164,132,847,722,141,115,,
1511.2,0.0,,1706,1452,170,137,847,722,136,109,,
1512.2,0.0,,1712,1459,171,137,847,723,140,112,,
1513.2,0.0,,1708,1452,167,133,849,724,139,111,,
1514.2,0.0,,1713,1449,169,135,850,724,135,108,,
1515.2,0.0,,1710,1452,177,143,849,724,133,107,,
1516.2,0.0,,1714,1450,170,138,849,724,126,101,,
1517.2,0.0,,1713,1454,174,140,849,724,128,102,,
1518.2,0.0,,1711,1457,176,142,848,723,124,99,,
1519.2,0.0,,1715,1454,181,146,845,721,120,96,,
1520.2,0.0,,1712,1446,186,150,845,719,117,94,,
1521.2,0.0,,1715,1448,185,150,843,718,112,89,,
1522.2,0.0,,1710,1450,187,151,842,718,115,91,,
1523.2,0.0,,1710,1457,194,156,839,715,110,87,,
1524.2,0.0,,1713,1450,198,159,839,716,109,86,,
1525.2,0.0,,1714,1447,196,158,836,714,112,89,,
1526.2,0.0,,1710,1460,190,154,835,712,98,78,,
1527.2,0.0,,1713,1455,194,156,835,712,103,82,,
1528.2,0.0,,1711,1453,196,158,831,708,103,83,,
1529.2,0.0,,1714,1460,203,164,831,708,101,81,,
1530.2,0.0,,1707,1454,200,161,831,709,98,78,,
1531.2,0.0,,1711,1451,197,159,830,708,95,75,,
1532.2,0.0,,1716,1451,198,158,830,708,99,80,,
1533.2,0.0,,1713,1454,194,155,829,708,101,82,,
1534.2,0.0,,1715,1451,185,148,828,706,103,84,,
1535.2,0.0,,1715,1456,191,152,830,708,100,80,,
1536.2,0.0,,1707,1468,181,144,829,708,110,89,,
1537.2,0.0,,1717,1456,178,143,831,709,110,90,,
1538.2,0.0,,1714,1451,179,143,831,709,106,86,,
1539.2,0.0,,1712,1457,183,146,832,709,114,92,,
